work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,"Entry level","Full time",Analyst,79968,USD,79968,US,100,US,Medium
2024,"Mid level","Full time",Analyst,80200,USD,80200,US,0,US,Medium
2024,"Senior level","Full time","Systems Engineer",198950,USD,198950,US,0,US,Medium
2024,"Mid level","Full time",Associate,111078,USD,111078,US,0,US,Medium
2024,"Mid level","Full time",Associate,80784,USD,80784,US,0,US,Medium
2024,"Senior level","Full time",Engineer,429100,USD,429100,US,0,US,Medium
2024,"Senior level","Full time","Data Architect",123570,USD,123570,US,0,US,Medium
2024,"Senior level","Full time","Data Modeler",274200,USD,274200,US,0,US,Medium
2024,"Senior level","Full time",Engineer,205776,USD,205776,US,100,US,Medium
2024,"Senior level","Full time",Engineer,164621,USD,164621,US,100,US,Medium
2024,"Senior level","Full time","Software Engineer",392004,PLN,98001,PL,0,PL,Medium
2024,"Senior level","Full time","Software Engineer",308004,PLN,77001,PL,0,PL,Medium
2024,"Senior level","Full time","Data Engineer",112469,USD,112469,CA,0,CA,Medium
2024,"Senior level","Full time","Data Engineer",99972,USD,99972,CA,0,CA,Medium
2024,"Entry level","Full time","Data Analyst",61208,USD,61208,CA,0,CA,Medium
2024,"Mid level","Full time",Manager,130305,USD,130305,US,0,US,Medium
2024,"Entry level","Full time","BI Analyst",228900,USD,228900,US,0,US,Medium
2024,"Mid level","Full time","Research Associate",145858,USD,145858,AU,0,AU,Medium
2024,"Mid level","Full time","Research Associate",109301,USD,109301,AU,0,AU,Medium
2024,"Senior level","Full time","Quantitative Analyst",74128,USD,74128,US,0,US,Medium
2024,"Senior level","Full time",Architect,242830,USD,242830,US,0,US,Medium
2024,"Senior level","Full time",Architect,181510,USD,181510,US,0,US,Medium
2024,"Senior level","Full time","Robotics Engineer",99890,USD,99890,US,0,US,Medium
2024,"Senior level","Full time","Robotics Engineer",72647,USD,72647,US,0,US,Medium
2024,"Senior level","Full time","Computational Biologist",181901,USD,181901,US,0,US,Medium
2024,"Senior level","Full time","Computational Biologist",148945,USD,148945,US,0,US,Medium
2024,"Mid level","Full time","Product Manager",131805,USD,131805,US,100,US,Medium
2024,"Mid level","Full time","Product Manager",97421,USD,97421,US,100,US,Medium
2024,"Mid level","Full time","Data Analyst",50700,USD,50700,US,100,US,Medium
2024,"Entry level","Full time",Analyst,28420,GBP,35525,GB,0,GB,Medium
2024,"Senior level","Full time","Data Analyst",57025,GBP,71281,GB,0,GB,Medium
2024,"Senior level","Full time","Data Analyst",46670,GBP,58337,GB,0,GB,Medium
2024,"Mid level","Full time","Data Scientist",107633,USD,107633,AU,0,AU,Medium
2024,"Mid level","Full time","Data Scientist",80065,USD,80065,AU,0,AU,Medium
2024,"Mid level","Full time",Manager,196720,USD,196720,US,0,US,Medium
2024,"Mid level","Full time",Manager,118860,USD,118860,US,0,US,Medium
2024,"Mid level","Full time",Manager,130786,USD,130786,AU,0,AU,Medium
2024,"Mid level","Full time",Manager,114231,USD,114231,AU,0,AU,Medium
2024,"Senior level","Full time","Data Analyst",122256,USD,122256,US,0,US,Medium
2024,"Expert Level","Full time","Data Architect",380424,USD,380424,US,0,US,Medium
2024,"Expert Level","Full time","Data Architect",294780,USD,294780,US,0,US,Medium
2024,"Senior level","Full time","Machine Learning Engineer",188750,USD,188750,US,0,US,Medium
2024,"Entry level","Full time","Data Analyst",83366,USD,83366,US,100,US,Medium
2024,"Entry level","Full time","Data Analyst",57949,USD,57949,US,100,US,Medium
2024,"Entry level","Full time","Data Management Specialist",106950,USD,106950,US,0,US,Medium
2024,"Entry level","Full time","Software Engineer",100980,USD,100980,US,0,US,Medium
2024,"Mid level","Full time","Software Engineer",157740,USD,157740,US,0,US,Medium
2024,"Mid level","Full time","Software Engineer",105995,USD,105995,US,0,US,Medium
2024,"Entry level","Full time","Data Specialist",99882,USD,99882,US,0,US,Medium
2024,"Entry level","Full time","Data Specialist",78874,USD,78874,US,0,US,Medium
2024,"Entry level","Full time","Data Analyst",109900,USD,109900,US,100,US,Medium
2024,"Senior level","Full time",Engineer,220035,USD,220035,US,0,US,Medium
2024,"Senior level","Full time",Engineer,122242,USD,122242,US,0,US,Medium
2024,"Senior level","Full time","Data Scientist",39900,USD,39900,US,0,US,Medium
2024,"Mid level","Full time","Machine Learning Scientist",187268,USD,187268,US,100,US,Medium
2024,"Mid level","Full time","Machine Learning Scientist",79901,USD,79901,US,100,US,Medium
2024,"Senior level","Full time","Data Engineer",144082,USD,144082,US,100,US,Medium
2024,"Senior level","Full time","Data Engineer",96059,USD,96059,US,100,US,Medium
2024,"Senior level","Full time","Software Engineer",281201,USD,281201,US,0,US,Medium
2024,"Senior level","Full time","Software Engineer",200858,USD,200858,US,0,US,Medium
2024,"Senior level","Full time",Engineer,197300,USD,197300,US,0,US,Medium
2024,"Mid level","Full time","Software Engineer",132950,USD,132950,US,0,US,Medium
2024,"Entry level","Full time","Data Engineer",89953,USD,89953,CA,0,CA,Medium
